registry_key,output_file_path,source_family,source_info_path,source_registry_path,name_blank,name_en_blank,description_blank,description_en_blank,action_count_written
spectra_iii_light_engine,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_spectra_iii_light_engine.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/spectra_iii_light_engine/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/spectra_iii_light_engine/registry.yaml,false,false,false,false,1
lambda103,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_lambda103.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/lambda103/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/lambda103/registry.yaml,false,false,false,false,10
li_ha,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_li_ha.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/li_ha/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/li_ha/registry.yaml,false,false,false,false,59
liquid_classes,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_liquid_classes.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/liquid_classes/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/liquid_classes/registry.yaml,false,false,false,false,58
thermocycler,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_thermocycler.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/thermocycler/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/thermocycler/registry.yaml,false,false,false,false,25
thorlabs_dc4100,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_thorlabs_dc4100.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/thorlabs_dc4100/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/thorlabs_dc4100/registry.yaml,false,false,false,false,10
thorlabs_fw212_c,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_thorlabs_fw212_c.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/thorlabs_fw212_c/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/thorlabs_fw212_c/registry.yaml,false,false,false,false,1
thorlabs_filter_wheel,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_thorlabs_filter_wheel.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/thorlabs_filter_wheel/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/thorlabs_filter_wheel/registry.yaml,false,false,false,false,1
__zaber_led_controller,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info___zaber_led_controller.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/__zaber_led_controller/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/__zaber_led_controller/registry.yaml,false,false,false,false,1
i_chrome_mle,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_i_chrome_mle.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/i_chrome_mle/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/i_chrome_mle/registry.yaml,false,false,false,false,1
pipette_controller,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_pipette_controller.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/pipette_controller/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/pipette_controller/registry.yaml,false,false,false,false,16
robotic_arm.UR,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_robotic_arm.UR.yaml,existing_devices_info,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/existing_devices_info/info_extracted/robot_arm.robotic_arm.UR_info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/unilabos/registry/devices/robot_arm.yaml,false,false,false,true,5
